Rank,Artist,Weeks_on_Chart,Peak_Rank,Peak_Streams,Total_Streams,Weekly_Rank,Weekly_Streams,spotify_id,genres,popularity,followers,vector,Track_Name
221,JOYCE 就以斯,46,3,484053,9675813,,,2rnMTHqTdSXZ9h9drhPanv,"chinese r&b, chinese indie, taiwanese indie, taiwanese pop, mandopop, c-pop",44,33568,"[0.6, 0.7, 0.4, 0.9, 0.8]",都是weather你
225,Alan Walker,193,1,114329,9435926,,,7vk5e3vY1uw9plTHJAMwjN,,79,41341777,"[0.7, 0.3, 0.8, 0.8, 0.3]",faded
226,Ed Sheeran,235,1,136205,9426414,,,6eUKZXaKkcviH0Ku9w2n3V,soft pop,89,123226405,"[0.3, 0.4, 0.9, 0.7, 0.9]",photograph
227,Ren Ran,125,20,170741,9390746,,,6f4srX54JFrLNK4aTJe2Sc,"mandopop, c-pop, gufeng, chinese r&b, taiwanese pop",58,483723,"[0.4, 0.3, 0.6, 0.7, 0.9]",无人之岛
228,Dua Lipa,86,4,224050,9351897,,,6M2wZ9GZgrQXHCFfjv46we,pop,87,47063263,"[0.9, 0.8, 0.9, 0.9, 0.7]",dont start now
229,阿冗,99,29,143212,9317355,,,3dTgjg7lzUGiD3NwcGCK1n,"mandopop, c-pop",50,92750,"[0.5, 0.2, 0.7, 0.8, 0.9]",與我無關
230,Dan + Shay,137,5,212932,9274194,,,7z5WFjZAIYejWy0NI5lv4T,country,68,3205736,"[0.4, 0.5, 0.9, 0.8, 0.9]","10,000 hours"
232,Taylor Swift,74,1,321687,9181534,,,06HL4z0CvFAxyc27GXpf02,,100,146788169,"[0.7, 0.5, 0.9, 0.9, 0.8]",antihero
233,Nicky Lee,80,54,151893,9127303,,,6DuHQk8gJbyVlhajer8IuF,"mandopop, c-pop, taiwanese pop, chinese r&b",52,169003,"[0.4, 0.3, 0.5, 0.8, 0.9]",圍牆
234,BTS,109,1,439146,9103085,,,3Nrfpe0tUJi4K4DXYWgMUX,k-pop,86,81465961,"[0.8, 0.9, 0.9, 0.9, 0.8]",boy luv
235,卓義峯,138,66,99535,9095471,,,0GVoNfTDWNN9TUXc4mx1FX,"taiwanese pop, mandopop, c-pop",35,5165,"[0.6, 0.4, 0.7, 0.8, 0.9]",再見煙火
236,瘦子E.SO,101,19,158133,9073424,,,2qXGNIlmY3JrYkxOWyXZsd,"chinese hip hop, mandopop, chinese r&b, taiwanese pop, c-pop",48,320740,"[0.7, 0.7, 0.8, 0.9, 0.8]",something i dont need
237,Yoyo Sham,127,11,101415,9071113,,,2OrCYFzQYE1TmevdYARnU1,"cantopop, mandopop, c-pop, taiwanese pop, chinese indie",42,80396,"[0.3, 0.4, 0.7, 0.7, 0.9]",追光者
238,芒果醬 Mango Jump,79,40,180213,9053336,,,1t1GIb4bb1lARAXwWEekUN,"taiwanese indie, taiwanese pop, chinese indie, mandopop",50,63039,"[0.8, 0.9, 0.6, 0.8, 0.8]",我喜歡你
239,Lee Young Ji,39,2,632917,9009085,,,0Y2AcMPMpeuPXtPQGVvRBq,"k-rap, k-pop",57,706123,"[0.7, 0.8, 0.8, 0.9, 0.7]",small girl
240,Eve Ai,131,6,140860,9008952,,,6eLpNMX3ZygSrUuxAlIWIx,"taiwanese pop, mandopop, c-pop, chinese indie",44,209045,"[0.6, 0.7, 0.7, 0.8, 0.8]",forever young
241,SHAUN,135,11,123176,9006790,,,72nLe76yBFSlP6VBzME358,k-pop,57,444500,"[0.5, 0.6, 0.8, 0.9, 0.6]",way back home
242,R-chord,145,25,147639,8913846,,,5XkrVVn0lQIVPkH55nbTgZ,"mandopop, taiwanese pop, c-pop",49,168239,"[0.4, 0.3, 0.6, 0.7, 0.9]",在沒有你以後
245,老王樂隊,168,19,108048,8747506,,,4MRQK5pLyNbcOW493n55iT,"taiwanese indie, chinese indie, chinese rock, taiwanese pop, mandopop",44,184104,"[0.4, 0.6, 0.3, 0.6, 0.8]",我還年輕 我還年輕
246,Ed Sheeran,185,4,141622,8737728,,,6eUKZXaKkcviH0Ku9w2n3V,soft pop,89,123226405,"[0.2, 0.9, 0.9, 0.7, 0.7]",perfect
247,Good Band,84,12,204962,8736848,,,4xlAHgZnzzPHtoKnev0gwJ,"taiwanese indie, chinese indie, taiwanese pop, mandopop, chinese rock",43,102245,"[0.7, 0.5, 0.2, 0.6, 0.9]",他們說我是沒有用的年輕人
248,G-DRAGON,50,13,380075,8728741,,,30b9WulBM8sFuBo17nNq9c,"k-pop, k-rap",70,3927975,"[0.9, 0.7, 0.7, 0.7, 0.7]",power
249,Nine Chen,49,5,198250,8712925,,,4MMQmzYiUiuD8VwjrJu3v6,"mandopop, taiwanese pop, c-pop, chinese r&b",45,185039,"[0.6, 0.5, 0.5, 0.8, 0.9]",天黑請閉眼
250,LE SSERAFIM,45,8,367324,8685716,,,4SpbR6yFEvexJuaBpgAU5p,k-pop,81,8163239,"[0.7, 0.7, 0.8, 0.9, 0.6]",smart
251,Ed Sheeran,75,2,297217,8643771,,,6eUKZXaKkcviH0Ku9w2n3V,soft pop,89,123226405,"[0.7, 0.7, 0.9, 0.8, 0.7]",beautiful people
252,Marshmello,77,6,241970,8625209,,,64KEffDW9EtZ1y2vBYgq8T,edm,81,34522943,"[0.8, 0.8, 0.9, 0.8, 0.7]",be kind
253,Taylor Swift,43,2,738645,8584099,,,06HL4z0CvFAxyc27GXpf02,,100,146788169,"[0.6, 0.4, 0.9, 1.0, 0.8]",fortnight
254,JOLIN,53,4,330773,8465059,,,1r9DuPTHiQ7hnRRZ99B8nL,"mandopop, c-pop, taiwanese pop",59,1173703,"[0.5, 0.6, 0.7, 1.0, 0.9]",親愛的對象
255,JC 陳詠桐,168,23,83716,8449583,,,757epCpvbpqyBoMMzbIC3g,"cantopop, mandopop, c-pop, taiwanese pop",45,57309,"[0.3, 0.2, 0.7, 0.8, 0.9]",說散就散
256,Coldplay,83,2,279651,8441669,,,4gzpq5DPGxSnKTe4SA8HAU,,89,61222210,"[0.8, 0.7, 0.9, 1.0, 0.7]",my universe
258,Yoga Lin,80,2,241086,8281564,,,1GPoTgvXd5OqZMF1akOsV2,"mandopop, taiwanese pop, c-pop, chinese r&b, cantopop, taiwanese indie",53,710421,"[0.4, 0.3, 0.6, 0.9, 0.9]",別讓我走遠
259,IU,82,1,562163,8221024,,,3HqSLMAZ3g3d5poNaI7GOU,"k-pop, k-ballad",67,9451923,"[0.7, 0.6, 0.8, 1.0, 0.8]",eight
260,icyball,78,37,175931,8184917,,,4GsjZQZJ3viOq4Uw8wZDbW,"taiwanese indie, chinese indie, chinese r&b, taiwanese pop, mandopop, c-pop",49,92286,"[0.5, 0.4, 0.3, 0.9, 0.7]",能不能和我留在台北
261,九澤CP,115,18,175482,8157209,,,7JRMSnpii2F9B7JlqRGiYR,"mandopop, taiwanese pop, c-pop",29,29432,"[0.6, 0.5, 0.6, 0.9, 0.8]",天黑請閉眼
262,J.Sheon,86,9,167038,8117547,,,4DEItwf281SHmTnS8q3Mn9,"chinese r&b, mandopop, chinese hip hop, c-pop, taiwanese indie, taiwanese pop, chinese indie",49,207883,"[0.6, 0.4, 0.5, 0.9, 0.8]",輸情歌
263,Chih Siou,71,3,321508,8085222,,,6cMRDBCHMYjyCH2D0s6uzr,"taiwanese indie, taiwanese pop, chinese indie, mandopop, c-pop, chinese r&b",42,74277,"[0.5, 0.6, 0.3, 0.9, 0.8]",正想著你呢
264,Jung Kook,46,4,387157,8073056,,,6HaGTQPmzraVmaVxvz6EUc,k-pop,81,18771919,"[0.8, 0.7, 0.9, 1.0, 0.7]",3d
266,NewJeans,74,15,194965,7968760,,,6HvZYsbFfjnjFrWF950C9d,k-pop,78,11775260,"[0.7, 0.9, 0.8, 1.0, 0.6]",attention
267,JENNIE,38,2,480403,7926317,,,250b0Wlc5Vk0CoUsaCY84M,k-pop,82,12563151,"[0.6, 0.7, 0.9, 1.0, 0.7]",you & me
268,Ariana Grande,52,12,336573,7905423,,,66CXWjxzNUsdJxJ2JdwvnR,pop,93,107849328,"[0.5, 0.4, 0.9, 1.0, 0.9]",we cant be friends
269,Post Malone,63,2,231586,7889603,,,246dkjvS1zLTtiykXe5h60,,87,47826801,"[0.5, 0.6, 0.9, 0.9, 0.6]",circles
270,The Weeknd,89,18,152119,7884690,,,1Xyo4u8uXC1ZmMpatF05PJ,,95,114144399,"[0.9, 0.7, 0.9, 1.0, 0.7]",blinding lights
271,Bestards,80,19,165936,7793436,,,0Awqm7GXGiBp8fJNGvywra,"mandopop, taiwanese indie, taiwanese pop, chinese indie, c-pop",58,249195,"[0.4, 0.3, 0.2, 0.8, 0.8]",我反芻著你留下的寂寞
272,LE SSERAFIM,56,5,316369,7778467,,,4SpbR6yFEvexJuaBpgAU5p,k-pop,81,8163239,"[0.8, 0.6, 0.9, 1.0, 0.6]",unforgiven
273,高爾宣 OSN,86,22,141373,7723186,,,4TcOznbEZBqev21LzAH4KE,"chinese r&b, chinese hip hop, mandopop, taiwanese pop, c-pop",56,471977,"[0.3, 0.6, 0.6, 0.9, 0.8]",out you acoustic version
274,Vicky Chen,123,60,91608,7671906,,,01u3qI3xMGFvktXyRSMGRZ,"mandopop, taiwanese pop, c-pop, chinese r&b, chinese indie",50,194308,"[0.4, 0.3, 0.7, 0.9, 0.9]",煙幕
275,Nicky Lee,71,59,144701,7619763,,,6DuHQk8gJbyVlhajer8IuF,"mandopop, c-pop, taiwanese pop, chinese r&b",52,169003,"[0.6, 0.8, 0.7, 0.6, 0.8]",夏天
278,程響,72,10,186683,7549299,,,7nKA1c1Qn6nI0XA8yburf3,"gufeng, mandopop, c-pop",41,45382,"[0.7, 0.8, 0.9, 0.9, 0.8]",四季予你
279,Namewee,120,6,133914,7539655,,,24jrxG0tKcwgAzsLuPzyMi,"mandopop, c-pop, taiwanese pop, chinese hip hop, cantopop",48,392913,"[0.7, 0.4, 0.8, 0.8, 0.9]",飄向北方
280,大籽,73,13,165949,7496864,,,2NJLAUSe3Ifk9MiHbddRAi,"chinese r&b, c-pop, mandopop, gufeng",45,37827,"[0.5, 0.2, 0.8, 0.9, 0.8]",白月光与朱砂痣
282,yung kai,43,19,234571,7439083,,,6zO1dZ40fTZ5hY9NnnRJSk,,71,2036492,"[0.3, 0.2, 0.4, 0.9, 0.8]",blue
285,Post Malone,90,7,187096,7332495,,,246dkjvS1zLTtiykXe5h60,,87,47826801,"[0.6, 0.7, 0.8, 0.8, 0.6]",sunflower spiderman into the spiderverse
286,Lauv,148,22,123162,7306472,,,5JZ7CnR6gTvEMKX4g70Amv,,74,6836209,"[0.6, 0.7, 0.8, 0.8, 0.7]",i like me better
288,Miley Cyrus,53,11,244617,7288658,,,5YGY8feqx7naU7z4HrwZM6,,82,26663878,"[0.6, 0.7, 0.9, 0.9, 0.7]",flowers
291,NewJeans,62,7,335997,7250738,,,6HvZYsbFfjnjFrWF950C9d,k-pop,78,11775260,"[0.8, 0.8, 0.9, 0.9, 0.5]",eta
292,LaLa Hsu,205,51,53975,7211874,,,3dI4Io8XE33J2o04ZwjR0Y,"mandopop, taiwanese pop, c-pop, gufeng",53,637027,"[0.3, 0.2, 0.5, 0.4, 0.9]",失落沙洲
293,Dua Lipa,75,23,159284,7205531,,,6M2wZ9GZgrQXHCFfjv46we,pop,87,47063263,"[0.9, 0.8, 0.9, 0.9, 0.7]",levitating
294,Stefanie Sun,66,69,145942,7167784,,,0SIXZXJCAhNU8sxK0qm7hn,"mandopop, taiwanese pop, c-pop, cantopop",61,1212691,"[0.3, 0.3, 0.6, 0.3, 0.8]",雨天
297,Hebe Tien,92,27,155608,7150742,,,14bJhryXGk6H6qlGzwj3W5,"mandopop, c-pop, taiwanese pop",54,1073526,"[0.3, 0.3, 0.7, 0.8, 0.9]",懸日
298,井朧,88,51,111178,7148122,,,4tz3iHSl8lR9ry1BOiF0N8,"gufeng, mandopop, c-pop",47,65936,"[0.6, 0.4, 0.5, 0.8, 0.9]",不刪
299,曾瑋中,40,10,311000,7140797,,,7zY8finbugZLFpNfwNe4qW,"taiwanese pop, mandopop",37,7729,"[0.7, 0.7, 0.4, 0.6, 0.9]",必巡
300,ROSÉ,68,1,423260,7117822,,,3eVa5w3URK5duf6eyVDbu9,k-pop,79,13514005,"[0.7, 0.5, 0.8, 0.9, 0.7]",on the ground
302,Eric Chou,44,19,318326,7094733,,,5fEQLwq1BWWQNR8GzhOIvi,"mandopop, c-pop, taiwanese pop, chinese r&b",65,1749260,"[0.3, 0.1, 0.7, 0.7, 0.9]",想念你想我
303,G.E.M.,88,21,153192,7085777,,,7aRC4L63dBn3CiLDuWaLSI,"mandopop, c-pop, cantopop, taiwanese pop, gufeng",66,3534422,"[0.7, 0.6, 0.7, 0.9, 0.7]",差不多姑娘
304,JJ Lin,161,30,131268,7073167,,,7Dx7RhX0mFuXhCOUgB01uM,"mandopop, c-pop, taiwanese pop",66,3944309,"[0.5, 0.7, 0.8, 0.7, 0.8]",手心的薔薇
305,Pink Sweat$,117,79,75196,7049986,,,1W7FNibLa0O0b572tB2w7t,,62,1863337,"[0.4, 0.6, 0.7, 0.9, 0.7]",at my worst
306,周星星,59,44,160840,6969717,,,2pu04SDXMrNFw0DMgsrFMp,"chinese r&b, c-pop, mandopop",35,5801,"[0.6, 0.3, 0.6, 0.8, 0.8]",毒药
307,Shi Shi,75,19,157140,6957529,,,4XKp9GFAQfsh2NflSRnHQi,"chinese r&b, mandopop, taiwanese indie, taiwanese pop, c-pop, chinese indie",49,206356,"[0.4, 0.5, 0.5, 0.9, 0.7]",someday or one day
309,陈壹千,49,24,198516,6905501,,,21pP8kvWpNCDhy2fMOTOAf,"mandopop, c-pop, taiwanese pop",41,11548,"[0.6, 0.4, 0.6, 0.9, 0.7]",仗着
310,Bruno Mars,124,18,264916,6864876,,,0du5cEVh5yTK9QJze8zA0C,,91,76149412,"[0.5, 0.8, 0.9, 0.8, 0.8]",just the way you are
311,Sophie Chen,60,11,202085,6854407,,,2DIegoHjgAlIc6HYGGbu4h,"mandopop, chinese r&b, taiwanese pop, c-pop, chinese indie, chinese hip hop",41,37523,"[0.4, 0.5, 0.6, 0.9, 0.7]",500天
312,Jin,20,8,624240,6790257,,,5vV3bFXnN6D6N3Nj4xRvaV,k-pop,80,9794840,"[0.5, 0.7, 0.7, 0.8, 0.8]",ill be there
313,BLACKPINK,63,2,373335,6773984,,,41MozSoPIsD1dJM0CLPjZF,k-pop,82,56449939,"[0.7, 0.6, 0.9, 0.9, 0.8]",lovesick girls
314,Ed Sheeran,63,1,305979,6735242,,,6eUKZXaKkcviH0Ku9w2n3V,soft pop,89,123226405,"[0.6, 0.7, 0.9, 0.9, 0.7]",i dont care
315,JOLIN,72,1,332506,6667683,,,1r9DuPTHiQ7hnRRZ99B8nL,"mandopop, c-pop, taiwanese pop",59,1173703,"[0.8, 0.7, 0.8, 0.9, 0.9]",怪美的
316,王ADEN,75,29,143346,6656560,,,4ecBfM4xa6ZLDr7P8lsyTV,"chinese r&b, chinese hip hop, mandopop, c-pop, taiwanese pop, chinese indie",49,61064,"[0.5, 0.4, 0.6, 0.9, 0.8]",想了妳6次
317,Sophie Chen,65,23,196630,6651234,,,2DIegoHjgAlIc6HYGGbu4h,"mandopop, chinese r&b, taiwanese pop, c-pop, chinese indie, chinese hip hop",41,37523,"[0.7, 0.8, 0.7, 0.9, 0.9]",On My Way
318,回春丹,21,3,381500,6636042,,,49x8WCVjNPZNepo3NmeMEi,"chinese rock, chinese indie, taiwanese indie, mandopop, taiwanese pop, c-pop, cantopop",43,60117,"[0.6, 0.7, 0.4, 0.7, 0.7]",鲜花
319,BTS,61,1,427941,6605511,,,3Nrfpe0tUJi4K4DXYWgMUX,k-pop,86,81465961,"[0.8, 0.9, 0.9, 0.9, 0.7]",butter
320,許光漢,70,11,190998,6595636,,,3hhUgkTf3fFYGogFMbV5Wv,"taiwanese indie, mandopop, chinese r&b, chinese indie, c-pop, taiwanese pop",42,54570,"[0.4, 0.3, 0.5, 0.8, 0.8]",別再想見我
321,Cyndi Wang,117,32,83584,6588905,,,3AroL2oDPiAnMpTmIQv3KP,"mandopop, taiwanese pop, c-pop",54,584969,"[0.3, 0.2, 0.6, 0.7, 0.9]",大眠
322,BABYMONSTER,47,19,240057,6580450,,,1SIocsqdEefUTE6XKGUiVS,k-pop,75,6026060,"[0.8, 0.6, 0.8, 1.0, 0.7]",batter up
323,Nine Chen,45,10,187865,6567108,,,4MMQmzYiUiuD8VwjrJu3v6,"mandopop, taiwanese pop, c-pop, chinese r&b",45,185039,"[0.6, 0.3, 0.4, 0.8, 0.7]",天黑請閉眼
324,Janice Yan,135,110,68095,6554542,,,3r5bFY2H54Y0YGIDzAo1xp,"mandopop, taiwanese pop, c-pop, chinese r&b",40,79712,"[0.3, 0.4, 0.5, 0.7, 0.9]",也可以
325,Justin Bieber,58,2,261308,6542169,,,1uNFoZAHBGtllmzznpCI3s,,92,85407639,"[0.5, 0.7, 0.9, 0.9, 0.8]",intentions
326,Silence Wang,45,17,252127,6540504,,,0PdNEiQ3MsJGCEgE13Tz60,"c-pop, mandopop, gufeng, chinese r&b",61,579938,"[0.4, 0.3, 0.6, 0.7, 0.8]",如果爱忘了
327,TAEYEON,43,15,304545,6538475,,,3qNVuliS40BLgXGxhdBdqu,"k-pop, k-ballad",63,3146269,"[0.5, 0.4, 0.7, 0.9, 0.9]",to x
328,LiSA,54,2,340146,6531047,,,0blbVefuxOGltDBa00dspv,"anime, j-pop, j-rock",69,3623883,"[0.7, 0.5, 0.7, 0.8, 0.9]",炎
329,Camila Cabello,88,1,171141,6523224,,,4nDoRrQiYLoBzwC5BhVJzF,,79,35676751,"[0.7, 0.8, 0.9, 0.8, 0.7]",havana
330,Ronghao Li,120,31,116322,6508757,,,0rTP0x4vRFSDbhtqcCqc8K,"mandopop, c-pop, taiwanese pop",58,1082705,"[0.3, 0.2, 0.5, 0.7, 0.8]",戒菸
331,i-dle,54,1,307560,6502282,,,2AfmfGFbe0A0WsTYm0SDTx,k-pop,70,11029613,"[0.8, 0.6, 0.8, 0.9, 0.7]",nxde
332,李千那,119,5,139029,6500797,,,3iGNpRQH6ei188rHVvwytb,"taiwanese pop, mandopop, c-pop",47,45545,"[0.3, 0.2, 0.5, 0.7, 0.9]",不曾回來過
333,IU,68,2,369197,6493080,,,3HqSLMAZ3g3d5poNaI7GOU,"k-pop, k-ballad",67,9451923,"[0.7, 0.8, 0.9, 0.9, 0.7]",celebrity
334,Bruno Mars,95,7,250960,6463953,,,0du5cEVh5yTK9QJze8zA0C,,91,76149412,"[0.7, 0.8, 0.9, 0.8, 0.7]",thats what i like
336,黃霄雲,86,41,114239,6461057,,,2xwlufPslbQKrv1MXDBpIM,"gufeng, mandopop, c-pop",50,57412,"[0.8, 0.7, 0.8, 0.9, 0.9]",星辰大海
337,BABYMONSTER,47,18,293311,6406813,,,1SIocsqdEefUTE6XKGUiVS,k-pop,75,6026060,"[0.8, 0.6, 0.9, 1.0, 0.6]",like that
